Component, Received From Tejas, Consumption, Scrap, Balance, Returned Quantity, Returned Accounted Quantity, Unaccounted Return Quantity, Is Balancing, Remaining Rows in Results, Balance In Annexure
999-AYC000024-E, 6400, 2581, 249, 420, 3150, 3150, 0, true, 0, 119
999-AYC000046-E, 4518, 4121, 183, 214, 0, 0, 0, true, 0, 292
999-AYC000054-E, 2632, 2378, 118, 136, 0, 0, 0, true, 0, 283
999-AYC000064-E, 8034, 3988, 273, 3430, 343, 343, 0, true, 0, 292
999-AYC000108-E, 5121, 3595, 173, 473, 880, 880, 0, true, 0, 292
999-AYC000225-E, 3449, 2993, 456, 0, 514, 0, 514, true, 0, 1348
999-AYC000254-E, 1900, 1718, 78, 104, 0, 0, 0, true, 0, 30
999-AYC000293-E, 2400, 2338, 36, 26, 0, 0, 0, true, 0, 33
999-AYC000296-E, 6610, 5916, 251, 443, 0, 0, 0, true, 0, 292
999-AYC000318-E, 5167, 4500, 217, 175, 275, 275, 0, true, 0, 30
999-AYC000367-E, 3130, 2687, 120, 323, 246, 0, 246, true, 0, 33
999-AYC000557-E, 1800, 1718, 64, 5, 13, 13, 0, true, 0, 34
999-AYC395268-E, 10581, 7666, 343, 2572, 2432, 0, 2432, true, 0, 152
999-AYC395269-E, 12868, 7836, 409, 4623, 4638, 0, 4638, true, 0, 293
999-AYC395512-E, 2050, 1479, 65, 341, 165, 165, 0, true, 0, 292
999-AYC395535-E, 5617, 2707, 497, 0, 2413, 2413, 0, true, 0, 1494
999-BAC000004-E, 1502, 1309, 0, 4, 189, 189, 0, true, 0, 293
999-CAC000178-E, 1500, 1479, 0, 0, 21, 21, 0, true, 0, 1799
999-CAC000941-E, 865, 859, 0, 6, 0, 0, 0, true, 0, 34
999-CAC001038-E, 864, 859, 0, 0, 5, 5, 0, true, 0, 1447
999-CAC001244-E, 931, 859, 0, 9, 63, 63, 0, true, 0, 1523
999-CECNSS002-M, 2832, 2579, 0, 38, 215, 215, 0, true, 0, 22
999-CECSMX008-M, 8704, 8590, 0, 114, 0, 0, 0, true, 0, 293
999-CECSMX022-M, 1742, 1718, 0, 2, 22, 22, 0, true, 0, 22
999-CECSPX008-M, 6343, 5763, 0, 580, 0, 0, 0, true, 0, 293
999-CECWPS005-M, 6043, 3622, 0, 2421, 868, 0, 868, true, 0, 293
999-CLC000111-E, 2098, 2084, 0, 14, 0, 0, 0, true, 0, 33
999-CLC000221-E, 5510, 5464, 0, 46, 0, 0, 0, true, 0, 30
998-CPC000066-M, 4248, 3857, 0, 1, 390, 390, 0, true, 0, 266
998-CPC000205-M, 4001, 3777, 0, 224, 0, 0, 0, true, 0, 161
998-CPC000600-M, 468, 457, 0, 8, 3, 3, 0, true, 0, 1938
998-CPC000601-M, 457, 457, 0, 0, 0, 0, 0, true, 0, 1907
999-ACC000135-E, 1950, 1718, 86, 146, 173, 0, 173, true, 0, 292
999-ADC000038-E, 980, 859, 0, 121, 167, 0, 167, true, 0, 293
999-AJC000040-E, 866, 859, 0, 4, 3, 3, 0, true, 0, 293
999-AOC000094-E, 904, 859, 0, 14, 31, 31, 0, true, 0, 1736
999-AXC000106-E, 9382, 9210, 0, 51, 121, 121, 0, true, 0, 34
999-AXCOP0096-E, 2252, 2159, 38, 55, 72, 0, 72, true, 0, 34
999-AYC000464-E, 3500, 2887, 144, 100, 369, 369, 0, true, 0, 292
999-AYC000556-E, 989, 859, 42, 88, 127, 0, 127, true, 0, 31
999-BOC000007-E, 1540, 1357, 0, 39, 144, 144, 0, true, 0, 1735
999-BRC000050-E, 1490, 1479, 0, 7, 4, 4, 0, true, 0, 28
999-CAC000554-E, 884, 859, 0, 5, 20, 20, 0, true, 0, 34
999-CLC000185-E, 1050, 1034, 0, 16, 0, 0, 0, true, 0, 1833
999-CLC000207-E, 1563, 1479, 0, 24, 60, 60, 0, true, 0, 292
999-CLC000293-E, 1534, 1479, 0, 55, 116, 0, 116, true, 0, 28
999-CLC000398-E, 870, 859, 11, 0, 0, 0, 0, true, 0, 1280
120-CGC000040-M, 16000, 7013, 8987, 0, 0, 0, 0, true, 0, 225
170-CCA000032-M, 157, 114, 0, 0, 43, 43, 0, true, 0, 31
170-CCA000033-M, 157, 114, 0, 0, 43, 43, 0, true, 0, 1137
170-CDA000024-M, 157, 114, 0, 0, 43, 43, 0, true, 0, 1137
170-CGC000056-M, 157, 114, 0, 2, 41, 41, 0, true, 0, 31
170-CGC000058-M, 315, 228, 0, 0, 87, 87, 0, true, 0, 1137
170-CGC000059-M, 315, 228, 0, 0, 87, 87, 0, true, 0, null
170-CGC000098-M, 160, 114, 0, 0, 46, 46, 0, true, 0, 1137
170-PCC000065-E, 162, 114, 0, 38, 10, 10, 0, true, 0, 22
998-CPC000207-M, 2000, 1991, 0, 9, 693, 0, 693, true, 0, 161
998-CPC000570-M, 164, 114, 0, 50, 0, 0, 0, true, 0, 266
998-CPC000635-M, 164, 114, 0, 6, 44, 44, 0, true, 0, 173
998-CPC000952-M, 164, 114, 0, 0, 50, 50, 0, true, 0, null
998-CPC000953-M, 164, 114, 0, 5, 45, 45, 0, true, 0, 161
999-ABC000007-E, 32095, 15727, 0, 1539, 14829, 14829, 0, true, 0, 1563
999-ACC000051-E, 1626, 476, 20, 139, 991, 991, 0, true, 0, 32
999-ACC000052-E, 640738, 250295, 14137, 0, 376306, 376306, 0, true, 0, 1339
