Component, Annexure Number, New Scrap
999-ACC316029-E,1618,129
999-ADC000029-E,157,1
999-AHC000001-E,1579,35
999-AJC000039-E,1144,9
999-AJC000062-E,1144,2
999-AOC000010-E,142,23
999-AOC000066-E,1550,11
999-AOC000069-E,1533,15
999-AOC000086-E,1533,9
999-AXCT00086-E,1144,5
999-AYC000201-E,1144,225
999-AYC000208-E,1144,310
999-AYC000212-E,44,76
999-AYC000215-E,1618,170
999-AYC000219-E,1144,106
999-AYC000300-E,1144,3
999-AYC395509-E,34,132
999-AYC395516-E,102,156
999-AYC395533-E,1578,97
999-AZC000007-E,1751,97
999-AZC000012-E,1618,575
999-BAC000002-E,120,4
999-BBC000090-E,1144,1
999-BEC000111-E,29,2
999-BEC000142-E,1628,8
999-BJC000008-E,1751,11
999-BUC000008-E,1632,3
999-BVC000069-E,1578,2
999-BVC000081-E,1453,13
999-CAC000061-E,1144,4
999-CAC000407-E,1470,24
999-CAC000413-E,1550,7
999-CECSMX017-M,22,1
999-CFC000045-M,102,1
999-CFC000050-M,1907,1
999-CLC000017-E,1529,15
999-CLC000091-E,1736,35
999-CLC000200-E,1144,1
999-CLC000224-E,101,20
999-CLC000260-E,1144,11
999-CLC000380-E,1647,5
999-ACC000058-E,293,308
999-ACC000067-E,1145,7
999-ACC000093-E,1145,13
999-ACC000126-E,1145,4
999-ACC000158-E,102,41
999-ACC000197-E,1611,427
999-ACC000238-E,1145,2
999-ACC000367-E,1145,1
999-ACC316255-E,102,184
999-ACC326027-E,30,65
999-ACC327501-E,1558,109
999-AHC000004-E,1647,133
999-AIC000068-E,1145,5
999-AIC000069-E,1145,1
999-AJC000046-E,1145,24
999-AJC000069-E,1145,23
999-AJC000070-E,1145,2
999-AMC000007-E,1453,158
999-AOC000077-E,1145,180
999-AXC000009-E,1145,1
999-AXC000039-E,1145,111
999-AYC000038-E,102,212
999-AYC000039-E,1145,39
999-AYC000070-E,152,6
999-AYC000202-E,1578,647
999-AYC000211-E,1578,321
999-AYC000213-E,1145,310
999-AYC000220-E,44,523
999-AYC000221-E,44,409
999-AYC000222-E,44,399
999-AYC000223-E,1145,539
999-AYC000224-E,44,398
999-AYC000229-E,1453,311
999-AYC000230-E,44,113
999-AYC000234-E,1145,47
999-AYC000285-E,1522,171
999-AYC000345-E,44,895
999-AYC000348-E,1145,19
999-AYC000377-E,119,49
999-AYC000444-E,1145,25
999-AYC393508-E,102,171
999-AYC393513-E,102,68
999-AYC395004-E,102,161
999-AYC395272-E,102,163
999-AYC593502-E,120,22
999-AYCB93501-E,1447,2
999-AZC000011-E,1550,345
999-BEC000192-E,1145,2
999-BJC000011-E,1145,10
999-CBC000092-E,1447,22
999-CLC000095-E,1680,8
999-CLC000152-E,1533,2
999-CLC000167-E,102,7
999-CLC000173-E,1578,40
999-CLC000243-E,1145,3
999-CLC000278-E,1145,1
001-PCCSY5R13-E,173,2
115-PCC000011-E,1419,1
130-PCC000021-E,1628,1
998-BBC000006-E,119,13
999-ABC000006-E,1618,554
999-ACC000009-E,1736,594
999-ACC000010-E,102,669
999-ACC000050-E,1563,2380
999-ACC000060-E,1559,147
999-ACC000095-E,292,238
999-ACC000134-E,1147,27
999-ACC000170-E,157,10
999-ACC000174-E,1580,9
999-ACC000390-E,142,35
999-ACC315502-E,1632,218
999-ACC316501-E,293,393
999-ACC316751-E,1447,31
999-ACC326026-E,1550,23
999-ADC000016-E,142,9
999-ADC857001-E,1447,2
999-ADC8XX001-E,1808,1
999-AIC000009-E,29,42
999-AIC000012-E,283,11
999-AIC000019-E,292,349
999-AIC000036-E,142,6
999-AJC000002-E,1447,1
999-AOC000016-E,136,2
999-AXC000044-E,1550,20
999-AYC000037-E,1628,78
999-AYC000138-E,1453,619
999-AYC000204-E,1751,615
999-AYC000206-E,1578,415
999-AYC000233-E,1618,124
999-AYC000263-E,1533,116
999-AYC000316-E,1494,375
999-AYC000331-E,1453,183
999-AYC000340-E,1611,54
999-AYC000372-E,1618,55
999-AYC000382-E,1550,78
999-AYC000392-E,1553,38
999-AYC000611-E,1533,83
999-AYC395507-E,1447,123
999-AYC395525-E,1550,33
999-AYC395529-E,1577,283
999-AYC395531-E,1597,90
999-AYC395534-E,1563,287
999-BBC000040-E,292,10
999-BEC000089-E,1523,1
999-BEC000122-E,1578,4
999-BEC000166-E,102,64
999-BEC000287-E,1740,10
999-BGC000057-E,1751,43
999-BGC000092-E,1751,4
999-BKC000021-E,1740,11
999-BPC000038-E,1351,5
999-BPC000052-E,1628,1
999-BPC000083-E,1147,73
999-BPC000110-E,1147,1
999-BPC000111-E,1241,9
999-BUC000001-E,1558,4
999-BVC000094-E,69,37
999-BVC000096-E,19,2
999-BVC000169-E,19,16
999-CAC000013-E,1610,9
999-CAC000054-E,1751,442
999-CAC000234-E,1558,4
999-CAC000276-E,1522,3
999-CAC000278-E,1610,2
999-CAC000279-E,1558,1
999-CAC000336-E,1501,1
999-CAC000384-E,1618,2
999-CAC000909-E,1147,1
999-CAC000992-E,1147,1
999-CBC000029-E,1550,113
999-CJC000001-E,19,99
999-CLC000089-E,1736,17
999-CLC000128-E,1751,10
999-CLC000141-E,19,46
999-CLC000162-E,1751,15
999-CLC000164-E,1447,1
999-CLC000216-E,1491,7
999-CLC000259-E,1147,5
999-CLC000554-E,136,27
999-CMC000137-E,1147,1
999-CMCT00054-E,1147,5
999-ABC000002-E,102,159
