Component, Annexure Number, New Scrap
999-AIC000050-E,1491,53
999-AYC593501-E,1155,5
999-CLC000023-E,1147,4
999-ACC000116-E,1735,130
999-ACC326502-E,1479,75
999-AIC000006-E,1479,32
999-AXC000020-E,1243,10
999-AYC395252-E,1479,39
999-AYC395261-E,1493,231
999-AYC395288-E,1495,239
999-AIC000044-E,1808,1
999-ACC000029-E,1493,7
999-AYC000401-E,29,6
999-ACC000228-E,30,41
999-AIC000016-E,1533,46
999-AIC000046-E,1553,5
999-AYCGA3254-E,1117,11
999-AYCGA3504-E,1618,71
999-AYC000556-E,1133,1
999-ACC000016-E,1202,355
999-ACC000051-E,1214,103
999-ACC000230-E,1137,7
999-ACC000142-E,33,55
999-AXC000002-E,33,8
999-AYC000120-E,1348,5
999-AYC393254-E,33,1
999-AYC000367-E,1533,135
999-ACC000017-E,1479,44
999-ACCC57751-E,1223,4
999-AIC000119-E,34,19
999-AXC000126-E,34,7
999-AXCOP0096-E,1345,2
999-AYC395251-E,1482,73
999-AYC000144-E,1580,39
999-ACC326503-E,1202,52
999-AYC000207-E,1559,178
999-AYC395256-E,1479,594
999-ACC338501-E,1493,204
999-AHC936001-E,1144,3
999-AIC000005-E,1647,2
999-AXC000069-E,119,2
999-AYC000069-E,1597,185
999-AYC000071-E,120,2
999-AYC000140-E,1478,15
999-AYC393514-E,33,49
999-BEC000233-E,1808,19
999-ACC000074-E,1210,13
999-ACC000104-E,1597,57
999-ACC317501-E,1479,850
999-ACC7C6501-E,1597,172
999-AIC000030-E,142,24
999-AXC000043-E,1224,2
999-AXC000084-E,1494,1
999-AXCT00084-E,1494,2
999-AYC000195-E,1597,149
999-AYC000394-E,1494,2
999-AYC395001-E,1482,728
999-AYC395253-E,1494,5
999-AYC395259-E,1239,660
999-AYC395259-E,152,2
999-AYC395268-E,1751,191
999-AYC395500-E,1482,719
999-AYC395501-E,1597,1917
999-AYC395524-E,1597,31
999-AYC395532-E,1597,177
999-CAC000192-E,1479,2
999-CAC000193-E,1479,11
999-ACC316504-E,1494,684
999-ADC000009-E,1482,8
999-ACC000044-E,1482,2
999-AIC000107-E,1482,10
999-AXC000079-E,161,11
998-CPC000049-M,283,2
999-ACC756502-E,283,5
999-AYC595500-E,283,196
999-AYC000557-E,1133,3
999-ACC000124-E,1215,32
999-ACC000135-E,1867,7
999-ACC326504-E,1550,82
999-AIC000080-E,292,36
999-AKC000006-E,292,50
999-AXC000094-E,1533,14
999-AYC393252-E,1580,535
999-AYC395521-E,1553,13
999-AYC395528-E,292,297
999-AYC595504-E,1553,6
999-ACC000100-E,293,108
999-ACC000186-E,293,3
999-AYC393502-E,293,2854
999-AYC395269-E,1647,75
999-AYC595259-E,293,24
999-CECWPS005-M,293,1553
999-AYC395269-E,293,10
998-CPC000207-M,161,9
