Component, Received From Tejas, Consumption, Scrap, Balance, Returned Quantity, Returned Accounted Quantity, Unaccounted Return Quantity, Is Balancing, Remaining Rows in Results, Balance In Annexure,,Scrap+Balance-Unnacc,
999-CAC000597-E,497,475,3,0,19,19,0, true,0,1238,,,
999-CBC000045-E,6001,4586,724,0,691,691,0, true,0,1523,,,
999-CECSPX006-M,3983,3800,0,183,436,0,436, true,0,40,,-253,
999-CECSRX011-M,2682,2668,0,0,14,14,0, true,0,1907,,,
999-CIC000032-E,659,589,3,0,67,67,0, true,0,1578,,,
999-CKC000032-E,494,475,0,0,19,19,0, true,0,1740,,,
999-ABC000001-E,55012,26394,3281,0,25337,25337,0, true,0,32,,,
999-ACC000072-E,6150,2672,189,0,3289,3289,0, true,0,1494,,,
999-ACC000116-E,1114,950,49,115,359,0,359, true,0,1735,,-195,
999-ACC000123-E,750,609,106,0,35,35,0, true,0,1558,,,
999-ACC315026-E,1508,1060,154,0,294,294,0, true,0,1224,,,
999-ACC316504-E,44050,32032,1562,2187,11102,8269,2833, true,0,157,,916,-646
999-ACC757502-E,2568,1900,527,0,141,141,0, true,0,1735,,,
999-ADC837001-E,1275,995,201,0,79,79,0, true,0,1447,,,
999-AHC926001-E,8054,1990,615,0,5449,5449,0, true,0,29,,,
999-AIC000006-E,54570,29674,1454,967,24842,22475,2367, true,0,1736,,54,-1400
999-AIC000007-E,1605,653,369,0,583,583,0, true,0,1580,,,
999-AIC000044-E,3048,1940,129,823,1056,156,900, true,0,1833,,52,-77
999-AJC000009-E,1499,1178,12,0,309,309,0, true,0,28,,,
999-AKC000006-E,7434,4324,0,3110,3060,0,3060, true,0,292,,50,50
999-AXC000001-E,878,663,41,0,174,174,0, true,0,1533,,,
999-AXC000002-E,1980,1710,82,92,189,96,93, true,0,33,,81,-1
999-AXC000035-E,600,475,24,40,105,61,44, true,0,1618,,20,-4
999-AYC000006-E,2597,1090,403,0,1104,1104,0, true,0,283,,,
999-AYC393516-E,6288,2609,493,0,3186,3186,0, true,0,1628,,,
999-AYC395251-E,370184,165263,10255,314,199445,194352,5093, true,0,34,,5476,-4779
999-AYC395256-E,32344,6921,950,4761,24701,19712,4989, true,0,102,,722,-228
999-AYC395257-E,15473,6609,873,0,7991,7991,0, true,0,1735,,,
999-AYC395501-E,175975,43818,7063,7994,128782,117100,11682, true,0,152,,3375,-3688
999-AYCGA3250-E,2448,1610,125,0,713,713,0, true,0,30,,,
999-AYCGA3253-E,2171,1615,193,0,363,363,0, true,0,30,,,
999-AYCGA3254-E,1310,990,53,148,309,119,190, true,0,30,,11,-42
999-AYCGA3255-E,623,495,29,0,99,99,0, true,0,1240,,,
999-BGC000002-E,4328,1479,1,0,2848,2848,0, true,0,1740,,,
999-BGC000083-E,530,475,3,0,52,52,0, true,0,1453,,,
999-CAC000266-E,493,475,0,0,18,18,0, true,0,1553,,,
999-CAC000505-E,500,475,7,0,18,18,0, true,0,1238,,,
999-CBC000001-E,11155,4766,335,0,6054,6054,0, true,0,1751,,,
999-CKC000040-E,504,475,0,0,29,29,0, true,0,1470,,,
999-AYCGA3507-E,847,495,170,0,182,182,0, true,0,1559,,,
999-BCC000002-E,1285,599,11,0,675,675,0, true,0,28,,,
999-BGC000022-E,570,475,5,0,90,90,0, true,0,1628,,,
999-BGC000059-E,510,495,15,0,0,0,0, true,0,1199,,,
999-CAC000437-E,513,475,13,0,25,25,0, true,0,1530,,,
999-CAC000608-E,491,475,0,0,16,16,0, true,0,1240,,,
999-CLC000029-E,1370,1019,13,0,338,338,0, true,0,1529,,,
160-CDC000065-M,1090,973,23,0,94,94,0, true,0,1907,,,
170-CCA000022-M,868,859,0,0,9,9,0, true,0,22,,,
170-CGC000041-M,865,859,3,0,3,3,0, true,0,31,,,
170-PCC000043-E,863,859,4,0,0,0,0, true,0,1593,,,
998-CFA000006-M,4845,4295,0,0,550,550,0, true,0,161,,,
999-ACC000066-E,6205,6024,181,0,0,0,0, true,0,30,,,
999-ACC000076-E,1508,1034,214,0,260,260,0, true,0,1578,,,
999-ACC000078-E,10597,5685,493,0,4419,4419,0, true,0,33,,,
999-ACC000186-E,1359,1323,8,3,140,25,115, true,0,293,,-104,
999-ACC000208-E,10716,6121,1173,0,3422,3422,0, true,0,1611,,,
999-ADC000018-E,3496,3436,20,0,40,40,0, true,0,1610,,,
999-AIC000128-E,2030,1718,312,0,0,0,0, true,0,30,,,
999-AOC000132-E,911,859,3,0,49,49,0, true,0,28,,,
999-AOC000133-E,1742,1718,24,0,0,0,0, true,0,1522,,,
999-AXC000006-E,2840,2577,118,145,296,0,296, true,0,292,,-33,
999-AYC000007-E,7350,2374,354,0,4622,4622,0, true,0,1597,,,
999-AYC000024-E,6400,2581,669,0,3150,3150,0, true,0,30,,,
