TPN,Description,115-PCA000007-E   F16S,115-PCA000037-E   PSM02,103-PCA000027-E   PSU,104-PCA000001-E     AC-DC,115-PCA000039-E    A162,115-PCA000084-E   ELAN01,130-PCA000207-E   ELAN04,140-SKU000004-P,141-PCA000002-E    ST63,141-PCA000024-E    ELAN10,170-PCA000002-E   FTU,170-PCA000003-E    OAM,170-PCA000084-E    PFU3,170-PCA000256-E    OFA,170-PCA000003-E    OAM,170-PCA000084-E    PFU3,130-PCA000207-E   ELAN04,104-PCA000001-E     APASU03,104-PCA000002-E  DPSU03,104-PCA000003-E  P02FP,104-PCA000004-E CP8E,170-PCA000002-E   FTU,170-PCA000002-E   FTU,170-PCA000084-E    PFU3,170-PCA000003-E    OAM,160-PCA000049-L,130-PCA000207-E   ELAN04,115-PCA000084-E   ELAN01,104-PCA000025-E,170-PCA000002-E   FTU,170-PCA000003-E    OAM,170-PCA000084-E    PFU3,104-PCA000002-E  DPSU03,115-PCA000037-E   PSM02,104-PCA000003-E  P02FP,001-PCA000062-E  BBT2,130-PCA000205-E DPU12,103-PCA000027-E PSU,103-PCA000036-E LTC8,115-PCA000039-E A162,170-PCA000256-E OFA,141-PCA000002-E ST63
999-ACC316504-E,"Capacitor,MLCC, X7R,1nF,10V,10%,0603,SMD",,1,,1,1,4,,5,5,1,,5,1,,5,1,,1,,24,12,,,1,5,4,,4,1,,5,1,,1,24,1,4,,3,1,,5
999-ACC316505-E,"Capacitor,MLCC,Y5V,470nF,10V,20%,0603,SMD",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
999-ACC316506-E,"Capacitor,MLCC, X7R,10nF,10V,10%,0603,SMD",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC316751-E,"Capacitor,MLCC,Y5V,2.2uF,10V,20%,0805,SMD",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,
999-ACC317501-E,"Capacitor,MLCC,Y5V,100nF,10V,20%,0603,SMD",,,,,64,,,,,,,2,,,2,,,,,128,207,,,,2,2,,,,,2,,,,128,,,,91,64,,
999-ACC318501-E,"Capacitor,MLCC,Y5V,220nF,10V,-20 to 80%,0603,SMD",,,,,52,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,52,,
999-ACC326026-E,"Capacitor,MLCC, NPO,22pF,16V,10%,0603,SMD",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC326027-E,"Capacitor,MLCC, NPO,12pF,16V,10%,0603,SMD",,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,
999-ACC326501-E,"Capacitor,MLCC, X7R,47nF,16V,10%,0603,SMD",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
999-ACC326502-E,"Capacitor,MLCC, X7R,10nF,16V,10%,0603,SMD",,,,,13,19,1,2,9,16,,13,,1,13,,1,,,14,,,,,13,17,1,19,,,13,,,,14,1,2,,51,13,1,9
999-ACC326503-E,"Capacitor,MLCC, X7R,470nF,16V,10%,0603,SMD",,,,,,1,,60,,8,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
999-ACC326504-E,"Capacitor,MLCC, X7R,220nF,16V,10%,0603,SMD",,3,,,2,18,33,34,2,6,,1,,,1,,33,,,4,,,,,1,5,33,18,,,1,,,3,4,,,,3,2,,2
999-ACC326750-E,"Capacitor,MLCC,Y5V,1uF,10V,20%,0805,SMD",,,,,,,,,,,,2,,,2,,,,,,,,,,2,,,,,,2,,,,,,,,2,,,
999-ACC327501-E,"Capacitor,MLCC, X7R,100nF,16V,20%,0603,SMD",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,1,,
999-ACC338501-E,"Capacitor,MLCC,Y5V,100nF,25V,-20 to 80%,0603,SMD",3,,,,9,,,,,,,,,,,,,,,,54,,,,,5,,,,,,,,,,,,,16,9,,
999-ACC516751-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC546502-E,"Capacitor,MLCC, X7R,10nF,50V,10%,1206,SMD",,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,
999-ACC556750-E,"Capacitor,MLCC, X7R,1uF,25V,10%,1206,SMD",1,,,,,,7,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,,,1,,,
999-ACC756502-E,"Capacitor,MLCC, X7R,10nF,100v,10%,1812,SMD",,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,4,,,,,,,,
999-ACC757501-E,"Capacitor,MLCC, X7R,22nF,100V,20%,1812,SMD",,,,,,,,,,,,3,,,3,,,,,,,,,,3,,,,,,3,,,,,,,,3,,,
999-ACC757502-E,"Capacitor,MLCC, X7R,100nF,100V,20%,1812,SMD",,,,,,,,,,,,4,,,4,,,,,,,,,,4,,,,,,4,,,,,,,,4,,,
999-ACC757503-E,"Capacitor,MLCC, X7R,220nF,100V,20%,1812,SMD",,,,,,,,,,,,4,,,4,,,,,,,,,,4,,,,,,4,,,,,,,,4,,,
999-ACC757504-E,"Capacitor,MLCC, X7R,470nF,100V,20%,1812,SMD",,6,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,6,,,,,,,,
999-ACC7C6501-E,"Capacitor,MLCC, X7R,1nF,2KV,10%,1812,SMD",,,,,,1,,,,,,,,,,,,,,4,1,,,,,,,1,,,,,,,4,,,,3,,,
999-ACC8D7501-E,"Capacitor,MLCC,Y5V,2.2nF,2KV,20%,8x5,Pitch 5mm,T/H",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
999-ACCC57751-E,"Capacitor,Aluminium Electrolytic,10uF,100V,20%,8x6.2,SMD",,,,,,,,2,,,,2,,,2,,,,,,,,,,2,,,,,,2,,,,,,,,2,,,
999-ACCE17751-E,"Capacitor,Oscon,Ripple current 5.23A,ESR 13mOHM,560uF,10V,20%,10x12.7,SMD",,,,,2,2,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,2,2,,
999-ACCEA7751-E,"Capacitor,Oscon,Ripple current 4.2A,ESR 21mOHM,150uF,20V,20%,10x12.7,SMD",,3,,,1,1,1,,,,,,,,,,1,,,,,,,,,1,1,1,,,,,,3,,,,,5,1,,
999-ACCH27001-E,"Capacitor,Oscon,Ripple current 1.02A,ESR 120mOHM,15uF,16V,20%,5x6,SMD",,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
999-ADC000001-E,"Capacitor,Aluminium Electrolytic,Ripple current 850mA,ESR 80mOHM,470uF,25V,20%,10x10.2,SMD",,1,5,,1,1,1,,,1,,,,1,,,1,,,,,,,,,1,1,1,,,,,,1,,1,,5,1,1,1,
999-ADC000009-E,"Capacitor,Aluminium Electrlytic,680uF,25V,20%,10x20,Pitch 5mm,T/H",,,,1,,,,,,,,,,,,,,1,1,,1,,,,,,,,2,,,,1,,,,,,,,,
999-ADC000011-E,"Capacitor,Aluminium Electrlytic,220uF,100V,20%,12.5x20,Pitch 5mm,T/H",,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
999-ADC000013-E,"Capacitor,Aluminium Electrlytic,100uF,35V,20%,8x11.5,Pitch 3.5mm,T/H",,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,1,,,,,,,,,
999-ADC000015-E,"Capacitor,Aluminium Electrlytic,10uF,63V,20%,5x11,Pitch 2mm,T/H",,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,2,1,,,,,,,,
999-ADC000016-E,"Capacitor,Aluminium Electrlytic,47uF,25V,20%,5x11,Pitch 2mm,T/H",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
999-ADC000018-E,"Capacitor,Aluminium Electrlytic,1500uF,100V,20%,35x25,Pitch 10mm,T/H",,,,,,,,,,,,,4,,,4,,,,,,,,4,,,,,,,,4,,,,,,,,,,
999-ADC000026-E,"Capacitor,Aluminium Electrolytic,820uF,100V,20%,26x25,Pitch 10mm,T/H",,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
999-ADC000028-E,"Capacitor,Aluminium Electrolytic,330uF,100V,20%,16x25,Pitch 7.5mm,T/H",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
999-ADC000029-E,"Capacitor,Aluminium Electrolytic,68uF,450V,20%,25x25,Pitch 10mm,T/H",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
999-ADC000030-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
999-ADC000031-E,"Capacitor,Aluminium Electrolytic,100uF,100V,20%,10x16,Pitch 5mm,T/H",,,,,,,,4,,,6,4,,2,4,,,,,,,6,6,,4,,,,,6,4,,,,,,,,,,2,
999-ADC000038-E,"Capacitor,Aluminium Electrolytic,47uF,25V,20%,6.3x7,Pitch 2.5mm,T/H",,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,
999-ADC837001-E,"Capacitor,Aluminum Electrolytic,100uF,25V,20%,6.3x11,Pitch 2.5mm,T/H",1,,,,,,,,,,,2,,,2,,,,,,,,,,2,,,,,,2,,,,,,,,,,,
999-ADC837752-E,"Capacitor,Aluminium Electrolytic,47uF,25V,20%,6.3x7,Pitch 2.5mm,T/H",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
999-ADC857001-E,"Capacitor,Aluminum Electrolytic,100uF,100V,20%,12.5x20,Pitch 5mm,T/H",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
999-ADC8XX001-E,"Capacitor,Super capacitor,Low ESR,1F,5.5V,20%,21.5x8,T/H",,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,
999-ADCD87751-E,"Capacitor,Polymer Conductive,Ripple current 1.9A,ESR 55mOHM,150uF,6.3V,20%,7343-31,SMD",,,,,16,,,,,,,,,,,,,,,8,15,,,,,1,,,,,,,,,8,,,,,16,,
999-ADCD87752-E,"Capacitor,Polymer Conductive,Ripple current 3.0A,ESR 15mOHM,150uF,6.3V,20%,7343-31,SMD",,,,,,9,6,,,1,,,,,,,6,,,,,,,,,11,6,9,,,,,,,,,,,13,,,
999-AEC000004-E,"Capacitor,Metallized polyster,X2 class,0.47uF,250VAC,20%,25.5x17.5x12,Pitch 22.5mm,T/H",,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2,,,,,,,,
999-AEC856751-E,"Capacitor,Metallized Polyester Film,3.3uF,100V,20%,18.5x16.5x8.5,Pitch 5mm,T/H",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
999-AGC844501-E,"Capacitor,Polyphenylene sulfide film,10nF,50V,2%,8x7x4,Pitch 3.5mm,T/H",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
999-AHC000001-E,"Capacitor,Tantalum,68uF,10V,20%,6032-28,SMD",,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
999-AHC000003-E,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
999-AHC000004-E,"Capacitor,Polymer Conductive,Ripple current 2.2A,ESR 25mOHM,330uF,2.5V,20%,7343-20,SMD",,,,,,,3,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,
999-AHC000005-E,"Capacitor,Polymer Conductive,Ripple current 1.1A,ESR 70mOHM,47uF,6.3V,20%,3528-21,SMD",,,,,18,,15,,,,,,,,,,15,,,,,,,,,,15,,,,,,,,,,,,,18,,
999-AHC000006-E,"Capacitor,Polymer Conductive,Ripple current 1.5A,ESR 40mOHM,33uF,6.3V,20%,3528-21,SMD",,,,,2,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,2,,
999-AHC916001-E,"Capacitor,Tantalum,47uF,10V,10%,3528-21,SMD",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,3,,,
999-AHC916751-E,"Capacitor,Tantalum,10uF,10V,10%,3528-21,SMD",,,,,3,1,,12,,,,6,,,6,,,,,,34,,,,6,1,,1,,,6,,,,,,,,94,3,,
999-AHC926001-E,"Capacitor,Tantalum,47uF,16V,10%,6032-28,SMD",,,,,,,,5,,2,,2,,,2,,,,,,6,,,,2,2,,,,,2,,,,,,,,8,,,
999-AHC926750-E,"Capacitor,Tantalum,1uF,16V,10%,3528-21,SMD",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
999-AHC936001-E,"Capacitor,Tantalum,10uF,25V,10%,3528-21,SMD",,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,,,
999-AHCA16001-E,"Capacitor,Tantalum,330uF,10V,20%,7343-31,SMD",,,,,3,,,2,2,4,,,,1,,,,,,2,,,,,,4,,,,,,,,,2,,,,1,3,1,2
999-AIC000001-E,"Diode 25V 1A 100pf Schottky barrier double series,BAT120S",,,,,1,,,1,,,,2,,,2,,,,,,1,,,,2,2,,,,,2,,,,,,,,2,1,,
999-AIC000002-E,"Diode 600 W Bidirectional Surface Mounted, CASE SMB/DO-214AA 78V Transient Voltage Suppressor",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
999-AIC000005-E,Diode 200V 1A 35nS 7pF Surface Mount DO-214AC Ultrafast Plastic,,6,,,,,,1,,,,1,1,,1,1,,,,,,,,1,1,,,,3,,1,1,,6,,1,1,,1,,,
999-AIC000006-E,Diode 18V SO08 Protection Array of 8,,,,,,,,17,48,,,2,,,2,,,,,,7,,,,2,1,,,,,2,,,,,,,,3,,,48
999-AIC000007-E,Diode 600W DO-214AA 3.3V UNIDIRECTIONAL TRANSIL,,,,,,,,3,,,,1,,,1,,,,,,1,,,,1,,,,,,1,,,,,,,,1,,,
999-AIC000008-E,Diode 120V 0.2A 50nS 5pFSOT23 General Purpose,,,4,,,,,,,,2,,,,,,,,,,,2,2,,,,,,,2,,,,,,,3,4,,,,
999-AIC000009-E,"Diode 3.3V, 225mW, SOT23 Zener",,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,
999-AIC000011-E,Diode 100V 12A Dual Common Cathode DPAK Schottky,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,3,,1,1,,,
999-AIC000012-E,"Diode 10V, 225mW, SOT23 Zener",,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,2,,,,
999-AIC000013-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
999-AIC000015-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
999-AIC000016-E,"Diode 600 W Bidirectional Surface Mounted, CASE SMB/DO-214AA 20V Transient Voltage Suppressor",,2,2,,,,,,,,,7,,,7,,,,,,2,,,,7,,,,,,7,,,2,,,,2,7,,,
999-AIC000019-E,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
999-AIC000023-E,Diode 30V 0.2A 10pf 5ns Schottky Barrier SOT23,,,,,2,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,2,2,,
999-AIC000026-E,Diode 5 15 KV 2000 Watt 100 A  SMD NA Low Capacitance Transient Voltage Supressor,,,,,,,,,,,,14,,,14,,,,,,,,,,14,,,,,,14,,,,,,,,6,,,
999-AIC000030-E,Diode  40 V 350 mW 1 A 25pF Junction Capacitance 12nS Reverse Recovery Time  SMD SOT-23F 0.55V Voltage Drop Schottky Barrier,,,,,3,,,2,,,2,2,,,2,,,,,6,,2,2,,2,8,,,,2,2,,,,6,,3,,5,3,,
999-AIC000032-E,Diode  75 V 225 mW 0.2 A  SMD SOD-123 High Conductance Switching,,28,,9,,,1,,,,,,,,,,1,9,4,,,,,,,1,1,,11,,,,4,28,,1,,,1,,,
999-AIC000036-E,Diode  600V 1A  SMD do214aa Power Rectifier,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
999-AIC000042-E,Diode  70V 200mA  SMD SOT363 Low capacitance array for ESD,,,,,,16,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
999-AIC000044-E,Diode  8V 800mA  SMD DO214AA TRISIL,,,,,,,,2,,,,4,,,4,,,,,,,,,,4,,,,,,4,,,,,,,,,,,
999-AIC000046-E,Diode  24V 8A  SMD SOT23 Dual TVS,,,,,,,,,,,,4,,,4,,,,,,,,,,4,,,,,,4,,,,,,,,4,,,
999-AIC000050-E,Diode 2 30V 0.2A  SMD SOT23 Schottky Barrier,,2,,,,,,,,,,,,,,,,,1,,,,,,,28,,,,,,,1,2,,,1,,,,,
999-AIC000051-E,Diode  1000V 1A  SMD SDIP Bridge Rectifier,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
999-AIC000061-E,Diode  100V 60A  TH TO220 Schottky Rectifier,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,,,,
999-AIC000063-E,Diode 75V 0.2A SMD SOD-123 Signal Diode,,,,,,4,,,,,2,,,,,,,,,,,2,2,,,,,4,,2,,,,,,1,7,,,,,
999-AIC000065-E,Diode 100V 12A SMD TO252AA Dual Common Cathode DPAK Schottky,,,,,,,,,,,11,3,,3,3,,,,,,,11,11,,3,,,,,11,3,,,,,,2,,,,3,
999-AIC000068-E,Diode 20V 600Watt22A SMD DO214AA Transient Voltage Suppressor,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AIC000069-E,Diode 15KV 100A SMD SO08 TVS Diode,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AIC000073-E,Diode 35V 8A SMD DPAK Schottky,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
999-AIC000074-E,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
999-AIC000077-E,"TVS Diode Array, Low Capacitance (3pF Typ),ESD protection, SMD 6pin",,,,,,,9,,,8,,,,,,,9,,,,,,,,,,9,,,,,,,,,,,,,,,
999-AIC000079-E,"Diode 35V 10A Schottky Barrier, DPAK",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
999-AIC000080-E,Diode 15V 33mA 0.5W SMD SOD123 Zener,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,2,,,,,
999-AIC000090-E,Diode Schottky 30V 100mA SMD SOD-523,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
999-AIC000092-E,Diode - 5A HIGH VOLTAGE SCHOTTKY BARRIER RECTIFIER,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
999-AIC000107-E,Diode 13V 33mA 0.5W SMD SOD123 Zener,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
999-AIC000119-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
999-AIC000128-E,"Diode, Schottky, 30V, 0.2A, Dual Common Cathode, SOT23, SMD",,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,,,
999-AIC800005-E,Diode 35V 16A TO220AC ULTRA LOW DROP SCHOTTKY,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
999-AJC000002-E,Fuse Holder 250VAC  6.3A TH Holder,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
999-AJC000004-E,5x20mm Time Lag fuse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
999-AJC000008-E,Fuse 2.5  A  Slow Blow SMD Nano 452 Series,,,,,,,,,1,,6,,,,,,,,,,,6,6,,,,,,,6,,,,,,,,,,,,1
999-AJC000009-E,Fuse 4  A  Slow Blow SMD Nano,,,,,,,,,,,,2,,2,2,,,,,,,,,,2,,,,,,2,,,,,,,,,,2,
999-AJC000015-E,Fuse 10A Fast Acting SMD EBF,,,,,,,,,,,2,,,,,,,,,,,2,2,,,,,,,2,,,,,,,,,,,,
999-AJC000017-E,Fuse 4 A Slow Blow SMD Nano 452 Series,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
999-AJC000019-E,Fuse 0.75A Slow Blow SMD Nano 452 Series,,2,,,,,,,,,2,,,,,,,,,,,2,2,,,,,,,2,,,,2,,,,,,,,
999-AJC000021-E,Fuse Ceramic tube 6.7x32mm very fast blow 20A Axial Lead,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
999-AJC000025-E,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
999-AJC000030-E,1.5A Fast Acting Glass fuse 7x33mm Axial Lead TH,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,1,,,,,,,,,
999-AJC000039-E,"Fuse, Very Fast Acting, Current rating = 8A, Voltage Rating = 125V, Cold Resistance = 0.0077, SMD",,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
999-AJC000040-E,FUSE 170 VDC FAST ACTING TELECOM 80A PCB MOUNT ,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,
999-AJC000042-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
999-AJC000046-E,Fuse 2A Fast Acting 0603 package SMD,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AJC000062-E,"Fuse,SMD,1A,125V,Fast acting",,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AJC000069-E,"Fuse, 0.35A at 23 degree, 16V, Resetable, SMD (3.5mmx1.8mmx1.10mm)",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AJC000070-E,"Fuse, Very Fast Acting, Current rating = 2.5A, Voltage Rating = 125V, Cold Resistance = 0.0286, SMD",,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AKC000006-E,Relay 3.3 V 220 V Contact AC Voltage 30 V Contact DC Voltage 2 A Contact Current DPDT Contact Type DIP12 TH Relay,,,,,,,,2,,,,8,,,8,,,,,,4,,,,8,2,,,,,8,,,,,,,,,,,
999-ALC000001-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,5,,,
999-ALC000003-E,Relay 12V 15mA 125V Contact AC Voltage 30V Contact DC Voltage 0.5A Contact Current Single side stable Contact Type DS-4ETH Polarized Relay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AMC000007-E,"10uH, Imax=225mA, DCR=1.2Ohms, Fr=48MHz, SMT-0806",,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,
999-AMC000009-E,"4.7 UH, 1.8A, SAT SMT Shielded Power Inductor",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AOC000003-E,Inductor 0.884mH 1.63A SMD PoleCat Package Common Mode Choke,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AOC000010-E,Inductor 3.3 uH 20% 5.4 Current Rating 15 MilliOhms 6.4 A SaturationCurrent SMD DO3316 FERRITE CORE,,,,,1,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,2,,,,1,1,,
999-AOC000016-E,Inductor 10 mH +/- 5% 1A 384 MilliOhms TH 25mm x 24mm Hor 25mm x 24mm FERRITE CORE,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
999-AOC000023-E,Inductor 5.6uH 33.8A 2.17 milli Ohm SMD 25X30 Power,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
999-AOC000028-E,Inductor 0.48uH 20% 30A Current Rating 2MilliOhms TH Toroidal-Bare coil,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,1,,,,,,,,,
999-AOC000030-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
999-AOC000033-E,Inductor 4.6mH 0.1A 5Ohms TH 10x12 Drum Power,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
999-AOC000034-E,Inductor 0.7mH 30% 15A 7milliOhms TH 24mm Vertical Common Mode Choke Ferrite Core,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
999-AOC000036-E,Inductor 10uH 11.4A 0.008 Ohms Vertical mount toroidal core,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,1,,,,,,,,,
999-AOC000038-E,Inductor 120uH +/-20% 850mA 140mOhms TH 10x12 Drum power,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
999-AOC000040-E,Inductor 220 uH 20% 0.8A 61 MilliOhms 0.8A SaturationCurrent SMD DO-3316P FERRITE CORE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
999-AOC000066-E,Inductor 0.6uH DCR=2.2mOhm 25A SMD 13.2X12.7mm RoHS=6/6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AOC000069-E,Inductor 0.68uH DCR=2.6mOhm 22A SMD 13.2X12.7mm RoHS=6/6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AOC000077-E,"Inductor,Common mode noise suppressor,1000ohms,25%,230mA,50V,1206, SMD",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AOC000086-E,Inductor 1.0uH DCR=3.2mOhm 18A SMD 13.2X12.7mm RoHS=6/6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-AOC000094-E,Inductor Ferrite Core 100uH +/-20% 0.67A 5.2x5.2mm SMD 0.5937E 0.398A Isat,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,
999-AOC000132-E,3uH 1mOhm 65 Amps High Current Differential Mode Inductor,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,
999-AOC000133-E,70uH 0.4mOhms 100A High Current Common Mode Inductor,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,,,
999-ARC000002-E,Inductor 4.7uH 17A 0.0046 20% Ohm SMT Power,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,2,1,,
999-ARC000003-E,Inductor 33uH 3A 66mE SMD DO5022 Power,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,
999-ARC000004-E,Inductor 2.2mH 2.5A EE2506 Core Common Mode Choke (UL),,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
999-ARC000005-E,Inductor 100uH 2.4A SMD DS5022 Power,,,,,,,,1,,,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,
